Time,Electrical power consumed ,Energy
Epoc,W,Wh
1009846800,838.732,0
1009850400,838.732,838.732
1009854000,838.732,1677.464
1009857600,838.732,2516.196
1009861200,838.732,3354.928
1009864800,838.732,4193.66
1009868400,838.732,5032.392
1009872000,838.732,5871.124
1009875600,838.732,6709.856
1009879200,838.732,7548.588
1009882800,838.732,8387.32
1009886400,838.732,9226.052
1009890000,838.732,10064.784
1009893600,838.732,10903.516
1009897200,838.732,11742.248
1009900800,838.732,12580.98
1009904400,838.732,13419.712
1009908000,838.732,14258.444
1009911600,838.732,15097.176
1009915200,838.732,15935.908
1009918800,838.732,16774.64
1009922400,838.732,17613.372
1009926000,838.732,18452.104
1009929600,838.732,19290.836
1009933200,838.732,20129.568
1009936800,838.732,20968.3
1009940400,838.732,21807.032
1009944000,838.732,22645.764
1009947600,838.732,23484.496
1009951200,838.732,24323.228
1009954800,838.732,25161.96
1009958400,856.881,26000.692
1009962000,51311.8,26857.573
1009965600,52952.24,78169.373
1009969200,52946.06,131121.613
1009972800,52941.32,184067.673
1009976400,52937.52,237008.993
1009980000,52934.67,289946.513
1009983600,52932.4,342881.183
1009987200,22501.2,395813.583
1009990800,21964.43,418314.783
1009994400,8039.721,440279.213
1009998000,2715.007,448318.934
1010001600,838.732,451033.941
1010005200,838.732,451872.673
1010008800,838.732,452711.405
1010012400,838.732,453550.137
1010016000,838.732,454388.869
1010019600,838.732,455227.601
1010023200,838.732,456066.333
1010026800,838.732,456905.065
1010030400,838.732,457743.797
1010034000,838.732,458582.529
1010037600,838.732,459421.261
1010041200,838.732,460259.993
1010044800,855.281,461098.725
1010048400,52501.2,461954.006
1010052000,52938.24,514455.206
1010055600,52934.75,567393.446
1010059200,52931.85,620328.196
1010062800,52929.37,673260.046
1010066400,52927.5,726189.416
1010070000,52926.24,779116.916
1010073600,22495.51,832043.156
1010077200,21961.7,854538.666
1010080800,8039.721,876500.366
1010084400,2731.523,884540.087
1010088000,838.732,887271.61
1010091600,838.732,888110.342
1010095200,838.732,888949.074
1010098800,838.732,889787.806
1010102400,838.732,890626.538
1010106000,838.732,891465.27
1010109600,838.732,892304.002
1010113200,838.732,893142.734
1010116800,838.732,893981.466
1010120400,838.732,894820.198
1010124000,838.732,895658.93
1010127600,838.732,896497.662
1010131200,853.76,897336.394
1010134800,53498.26,898190.154
1010138400,54157.33,951688.414
1010142000,53686.56,1005845.744
1010145600,53288.36,1059532.304
1010149200,52926.31,1112820.664
1010152800,52924.45,1165746.974
1010156400,52919.61,1218671.424
1010160000,22483.96,1271591.034
1010163600,21955.96,1294074.994
1010167200,8039.721,1316030.954
1010170800,2732.987,1324070.675
1010174400,838.732,1326803.662
1010178000,838.732,1327642.394
1010181600,838.732,1328481.126
1010185200,838.732,1329319.858
1010188800,838.732,1330158.59
1010192400,838.732,1330997.322
1010196000,838.732,1331836.054
1010199600,838.732,1332674.786
1010203200,838.732,1333513.518
1010206800,838.732,1334352.25
1010210400,838.732,1335190.982
1010214000,838.732,1336029.714
1010217600,838.732,1336868.446
1010221200,838.732,1337707.178
1010224800,838.732,1338545.91
1010228400,838.732,1339384.642
1010232000,838.732,1340223.374
1010235600,838.732,1341062.106
1010239200,838.732,1341900.838
1010242800,838.732,1342739.57
1010246400,838.732,1343578.302
1010250000,838.732,1344417.034
1010253600,838.732,1345255.766
1010257200,838.732,1346094.498
1010260800,838.732,1346933.23
1010264400,838.732,1347771.962
1010268000,838.732,1348610.694
1010271600,838.732,1349449.426
1010275200,838.732,1350288.158
1010278800,838.732,1351126.89
1010282400,838.732,1351965.622
1010286000,838.732,1352804.354
1010289600,838.732,1353643.086
1010293200,838.732,1354481.818
1010296800,838.732,1355320.55
1010300400,838.732,1356159.282
1010304000,838.732,1356998.014
1010307600,838.732,1357836.746
1010311200,838.732,1358675.478
1010314800,838.732,1359514.21
1010318400,838.732,1360352.942
1010322000,838.732,1361191.674
1010325600,838.732,1362030.406
1010329200,838.732,1362869.138
1010332800,838.732,1363707.87
1010336400,838.732,1364546.602
1010340000,838.732,1365385.334
1010343600,838.732,1366224.066
1010347200,838.732,1367062.798
1010350800,838.732,1367901.53
1010354400,838.732,1368740.262
1010358000,838.732,1369578.994
1010361600,838.732,1370417.726
1010365200,838.732,1371256.458
1010368800,838.732,1372095.19
1010372400,838.732,1372933.922
1010376000,838.732,1373772.654
1010379600,838.732,1374611.386
1010383200,838.732,1375450.118
1010386800,838.732,1376288.85
1010390400,838.732,1377127.582
1010394000,838.732,1377966.314
1010397600,838.732,1378805.046
1010401200,838.732,1379643.778
1010404800,838.732,1380482.51
1010408400,838.732,1381321.242
1010412000,838.732,1382159.974
1010415600,838.732,1382998.706
1010419200,838.732,1383837.438
1010422800,838.732,1384676.17
1010426400,838.732,1385514.902
1010430000,838.732,1386353.634
1010433600,838.732,1387192.366
1010437200,838.732,1388031.098
1010440800,838.732,1388869.83
1010444400,838.732,1389708.562
1010448000,838.732,1390547.294
1010451600,838.732,1391386.026
1010455200,838.732,1392224.758
1010458800,838.732,1393063.49
1010462400,838.732,1393902.222
1010466000,838.732,1394740.954
1010469600,838.732,1395579.686
1010473200,838.732,1396418.418
1010476800,860.02,1397257.15
1010480400,52523.29,1398117.17
1010484000,52950.79,1450640.46
1010487600,52940.85,1503591.25
1010491200,52935.67,1556532.1
1010494800,52931.7,1609467.77
1010498400,52928.66,1662399.47
1010502000,52926.48,1715328.13
1010505600,22495.49,1768254.61
1010509200,21961.73,1790750.1
1010512800,8039.721,1812711.83
1010516400,2715.007,1820751.551
1010520000,838.732,1823466.558
1010523600,838.732,1824305.29
1010527200,838.732,1825144.022
1010530800,838.732,1825982.754
1010534400,838.732,1826821.486
1010538000,838.732,1827660.218
1010541600,838.732,1828498.95
1010545200,838.732,1829337.682
1010548800,838.732,1830176.414
1010552400,838.732,1831015.146
1010556000,838.732,1831853.878
1010559600,838.732,1832692.61
1010563200,855.713,1833531.342
1010566800,52498.62,1834387.055
1010570400,52936.25,1886885.675
1010574000,52932.24,1939821.925
1010577600,52929.3,1992754.165
1010581200,52926.79,2045683.465
1010584800,52924.44,2098610.255
1010588400,52922.84,2151534.695
1010592000,22491.78,2204457.535
1010595600,21959.87,2226949.315
1010599200,8039.721,2248909.185
1010602800,2731.523,2256948.906
1010606400,838.732,2259680.429
1010610000,838.732,2260519.161
1010613600,838.732,2261357.893
1010617200,838.732,2262196.625
1010620800,838.732,2263035.357
1010624400,838.732,2263874.089
1010628000,838.732,2264712.821
1010631600,838.732,2265551.553
1010635200,838.732,2266390.285
1010638800,838.732,2267229.017
1010642400,838.732,2268067.749
1010646000,838.732,2268906.481
1010649600,852.897,2269745.213
1010653200,52487.12,2270598.11
1010656800,52931.59,2323085.23
1010660400,52928.66,2376016.82
1010664000,52926.53,2428945.48
1010667600,52924.18,2481872.01
1010671200,52922.22,2534796.19
1010674800,52920.94,2587718.41
1010678400,22490.02,2640639.35
1010682000,21959.03,2663129.37
1010685600,8039.721,2685088.4
1010689200,2731.679,2693128.121
1010692800,838.732,2695859.8
