Time,Electrical power consumed ,Energy
Epoc,W,Wh
1009846800,0,0
1009850400,0,0
1009854000,0,0
1009857600,0,0
1009861200,0,0
1009864800,0,0
1009868400,0,0
1009872000,0,0
1009875600,0,0
1009879200,0,0
1009882800,0,0
1009886400,0,0
1009890000,0,0
1009893600,0,0
1009897200,0,0
1009900800,0,0
1009904400,0,0
1009908000,0,0
1009911600,0,0
1009915200,0,0
1009918800,0,0
1009922400,0,0
1009926000,0,0
1009929600,0,0
1009933200,0,0
1009936800,0,0
1009940400,0,0
1009944000,0,0
1009947600,0,0
1009951200,0,0
1009954800,0,0
1009958400,1593.045,1593.045
1009962000,10897.71,12490.755
1009965600,10887.41,23378.165
1009969200,9696.9,33075.065
1009972800,8602.176,41677.241
1009976400,7619.699,49296.94
1009980000,6853.351,56150.291
1009983600,6207.489,62357.78
1009987200,6709.125,69066.905
1009990800,3328.467,72395.372
1009994400,0,72395.372
1009998000,0,72395.372
1010001600,0,72395.372
1010005200,0,72395.372
1010008800,0,72395.372
1010012400,0,72395.372
1010016000,0,72395.372
1010019600,0,72395.372
1010023200,0,72395.372
1010026800,0,72395.372
1010030400,0,72395.372
1010034000,0,72395.372
1010037600,0,72395.372
1010041200,0,72395.372
1010044800,5187.475,77582.847
1010048400,10625.58,88208.427
1010052000,8172.079,96380.506
1010055600,7057.89,103438.396
1010059200,6120.461,109558.857
1010062800,5300.319,114859.176
1010066400,4678.408,119537.584
1010070000,4262.297,123799.881
1010073600,4912.53,128712.411
1010077200,2464.374,131176.785
1010080800,0,131176.785
1010084400,0,131176.785
1010088000,0,131176.785
1010091600,0,131176.785
1010095200,0,131176.785
1010098800,0,131176.785
1010102400,0,131176.785
1010106000,0,131176.785
1010109600,0,131176.785
1010113200,0,131176.785
1010116800,0,131176.785
1010120400,0,131176.785
1010124000,0,131176.785
1010127600,0,131176.785
1010131200,5079.471,136256.256
1010134800,9213.044,145469.3
1010138400,6771.404,152240.704
1010142000,5816.281,158056.985
1010145600,5048.831,163105.816
1010149200,4305.624,167411.44
1010152800,3607.657,171019.097
1010156400,1579.073,172598.17
1010160000,0,172598.17
1010163600,0,172598.17
1010167200,0,172598.17
1010170800,0,172598.17
1010174400,0,172598.17
1010178000,0,172598.17
1010181600,0,172598.17
1010185200,0,172598.17
1010188800,0,172598.17
1010192400,0,172598.17
1010196000,0,172598.17
1010199600,0,172598.17
1010203200,0,172598.17
1010206800,0,172598.17
1010210400,0,172598.17
1010214000,0,172598.17
1010217600,0,172598.17
1010221200,0,172598.17
1010224800,0,172598.17
1010228400,0,172598.17
1010232000,0,172598.17
1010235600,0,172598.17
1010239200,0,172598.17
1010242800,0,172598.17
1010246400,0,172598.17
1010250000,0,172598.17
1010253600,0,172598.17
1010257200,0,172598.17
1010260800,0,172598.17
1010264400,0,172598.17
1010268000,0,172598.17
1010271600,0,172598.17
1010275200,0,172598.17
1010278800,0,172598.17
1010282400,0,172598.17
1010286000,0,172598.17
1010289600,0,172598.17
1010293200,0,172598.17
1010296800,0,172598.17
1010300400,0,172598.17
1010304000,0,172598.17
1010307600,0,172598.17
1010311200,0,172598.17
1010314800,0,172598.17
1010318400,0,172598.17
1010322000,0,172598.17
1010325600,0,172598.17
1010329200,0,172598.17
1010332800,0,172598.17
1010336400,0,172598.17
1010340000,0,172598.17
1010343600,0,172598.17
1010347200,0,172598.17
1010350800,0,172598.17
1010354400,0,172598.17
1010358000,0,172598.17
1010361600,0,172598.17
1010365200,0,172598.17
1010368800,0,172598.17
1010372400,0,172598.17
1010376000,0,172598.17
1010379600,0,172598.17
1010383200,0,172598.17
1010386800,0,172598.17
1010390400,0,172598.17
1010394000,0,172598.17
1010397600,0,172598.17
1010401200,0,172598.17
1010404800,0,172598.17
1010408400,0,172598.17
1010412000,0,172598.17
1010415600,0,172598.17
1010419200,0,172598.17
1010422800,0,172598.17
1010426400,0,172598.17
1010430000,0,172598.17
1010433600,0,172598.17
1010437200,0,172598.17
1010440800,0,172598.17
1010444400,0,172598.17
1010448000,0,172598.17
1010451600,0,172598.17
1010455200,0,172598.17
1010458800,0,172598.17
1010462400,0,172598.17
1010466000,0,172598.17
1010469600,0,172598.17
1010473200,0,172598.17
1010476800,5786.386,178384.556
1010480400,11588.83,189973.386
1010484000,11701.2,201674.586
1010487600,9377.493,211052.079
1010491200,7458.208,218510.287
1010494800,6064.867,224575.154
1010498400,5004.562,229579.716
1010502000,4235.191,233814.907
1010505600,4771.804,238586.711
1010509200,2416.57,241003.281
1010512800,0,241003.281
1010516400,0,241003.281
1010520000,0,241003.281
1010523600,0,241003.281
1010527200,0,241003.281
1010530800,0,241003.281
1010534400,0,241003.281
1010538000,0,241003.281
1010541600,0,241003.281
1010545200,0,241003.281
1010548800,0,241003.281
1010552400,0,241003.281
1010556000,0,241003.281
1010559600,0,241003.281
1010563200,5600.488,246603.769
1010566800,10210.06,256813.829
1010570400,7732.342,264546.171
1010574000,6327.512,270873.683
1010577600,5320.705,276194.388
1010581200,4426.951,280621.339
1010584800,3536.979,284158.318
1010588400,2926.426,287084.744
1010592000,3421.625,290506.369
1010595600,1735.034,292241.403
1010599200,0,292241.403
1010602800,0,292241.403
1010606400,0,292241.403
1010610000,0,292241.403
1010613600,0,292241.403
1010617200,0,292241.403
1010620800,0,292241.403
1010624400,0,292241.403
1010628000,0,292241.403
1010631600,0,292241.403
1010635200,0,292241.403
1010638800,0,292241.403
1010642400,0,292241.403
1010646000,0,292241.403
1010649600,4983.344,297224.747
1010653200,8500.402,305725.149
1010656800,6328.084,312053.233
1010660400,5211.512,317264.745
1010664000,4429.566,321694.311
1010667600,3520.763,325215.074
1010671200,2742.915,327957.989
1010674800,2231.343,330189.332
1010678400,2798.767,332988.099
1010682000,1436.987,334425.086
1010685600,0,334425.086
1010689200,0,334425.086
1010692800,0,334425.086
1010696400,0,334425.086
1010700000,0,334425.086
1010703600,0,334425.086
1010707200,0,334425.086
1010710800,0,334425.086
1010714400,0,334425.086
1010718000,0,334425.086
1010721600,0,334425.086
1010725200,0,334425.086
1010728800,0,334425.086
1010732400,0,334425.086
1010736000,4316.582,338741.668
1010739600,7247.527,345989.195
1010743200,4981.335,350970.53
1010746800,4015.221,354985.751
1010750400,3118.88,358104.631
1010754000,2257.011,360361.642
