time,Outdoor Dry Bulb Temperature,Relative humidity,Outdoor Temperature Dewpoint,Normal direct solar radiation,Diffuse horizontal solar radiation,Wind speed ,Wind direction,Atmospheric pressure, Solar altitud,Solar azimuth
epoc,°C,%,°C,kW,kW,m/s,°,Pa,°,°
1009846800,4.275,30.35919,1.7,0,0,6.7,0,98544,-70.59927,15.53983
1009850400,4.4,30.61304,1.7,0,0,6.7,0,98544,-69.62527,25.31923
1009854000,4.025,30.84314,1.7,0,0,6.7,0,98544,-62.36597,54.83706
1009857600,3.9,31.06268,1.7,0,0,6.7,0,98544,-52.3274,72.73312
1009861200,3.45,31.27261,1.475,0,0,6.7,0,98544,-41.35785,85.10805
1009864800,2.925,31.47817,1.4,0,0,6.7,0,98544,-30.17803,95.13218
1009868400,2.35,31.68119,1.4,0,0,6.7,0,98544,-19.15535,104.2911
1009872000,1.825,26.08337,1.175,0,0,6.7,0,98544,-8.56988,113.4196
1009875600,1.7,25.50313,1.1,0.04175,0.01625,6.7,0,98544,1.284975,123.1034
1009879200,2.075,25.48674,0.875,0.23875,0.055,6.7,0,98544,10.04899,133.8169
1009882800,3.475,25.47306,0.8,0.41525,0.08725,6.7,0,98544,17.26637,145.919
1009886400,5.175,25.42713,0.8,0.39375,0.128,6.7,0,98544,22.40125,159.5264
1009890000,6.8,25.31518,0.8,0.555,0.11275,6.7,0,98544,24.93784,174.3184
1009893600,8.475,25.32927,0.8,0.19525,0.1675,6.7,0,98544,24.56561,189.4864
1009897200,9.725,25.30936,0.8,0.205,0.16325,6.7,0,98544,21.33282,204.0389
1009900800,10,25.31294,0.8,0.1525,0.12475,6.7,0,98544,15.62057,217.2766
1009904400,9.55,25.32782,1.025,0.11775,0.066,6.7,0,98544,7.964801,229.0047
1009908000,9.025,25.38351,1.1,0,0,6.7,0,98544,-1.113343,239.4188
1009911600,7.625,25.38373,1.1,0,0,6.7,0,98544,-11.18311,248.9144
1009915200,6.375,25.38542,1.325,0,0,6.7,0,98544,-21.90487,257.9893
1009918800,5.725,25.38909,1.4,0,0,6.7,0,98544,-32.99469,267.272
1009922400,5.15,28.24271,1.625,0,0,6.7,0,98544,-44.16322,277.7077
1009926000,4.55,29.40276,1.7,0,0,6.7,0,98544,-54.99096,291.0721
1009929600,4.025,30.11202,1.7,0,0,6.7,0,98544,-64.57582,311.232
1009933200,3.45,30.4217,1.7,0,0,6.7,0,98544,-70.49663,15.7985
1009936800,3.3,30.69167,1.7,0,0,6.7,0,98544,-69.58489,24.95273
1009940400,3.3,30.92715,1.7,0,0,6.7,0,98544,-62.3747,54.54528
1009944000,3.3,31.14081,1.7,0,0,6.7,0,98544,-52.35783,72.51697
1009947600,3.3,31.34097,1.7,0,0,6.7,0,98544,-41.39562,84.93492
